Timestamp,instructions,LLC-load-misses
    17.272183894,468327782,488957
    17.373644922,400203370,2440152
    17.473949414,372728911,2650689
    17.574257965,426993469,3593508
    17.674649309,405295155,2325287
    17.774842802,439570677,414621
    17.875040218,497885658,343318
    17.975337966,444591829,311872
    18.075539041,493489648,343267
    18.175746633,370558232,2258092
    18.277184338,297740997,3000389
    18.378234245,288523523,2166569
    18.479469395,411987996,3271528
    18.579761167,403482569,969199
    18.681568743,398129758,590472
    18.781926259,438263474,661716
    18.882209990,453058499,379480
    18.982691997,315146300,345617
    19.083081613,441941353,813160
    19.184674431,467138318,735346
    19.286056870,436746561,637753
    19.387591349,455175748,828482
    19.488824979,431671282,535405
    19.589117636,420328930,356349
    19.689306073,375595783,396517
    19.789506945,444155467,590205
    19.889700011,435693260,410410
    19.989896863,259456735,1412203
    20.090617511,287149503,3617647
    20.190810127,232652569,4245970
    20.291003160,255288145,1510840
    20.391169084,164066124,1104252
    20.491332430,73338968,2366697
    20.591524653,75058697,3339069
    20.691727184,120443180,667534
    20.793345585,290091432,524466
    20.893796000,228740831,519034
    20.996361108,251043634,452112
    21.096578403,268817767,644497
    21.196786488,387965797,423927
    21.296979399,346547437,162208
    21.397171977,401243195,530107
    21.497361547,444861243,457720
    21.597747369,383603223,468534
    21.698043990,379565867,384645
    21.798527106,452627611,174304
    21.898705164,465774510,366367
    21.998894139,489002820,302754
    22.099117947,512898384,396558
    22.199426505,509637962,551722
    22.299600325,508266815,448381
    22.399790156,502600538,545156
    22.499979336,533541464,461102
    22.600158381,477195450,393671
    22.700503001,480093455,673747
    22.800679151,492721214,707729
    22.900869856,554117479,435274
    23.001060328,535038101,417420
    23.101243158,503012151,441055
    23.201509489,445787048,567183
    23.301695934,550795239,399630
    23.401892749,542685889,428104
    23.502260388,556069228,402667
    23.603778371,544534581,404847
    23.704135849,511251783,469591
    23.805862470,505896285,634088
    23.907648750,559653247,491826
    24.007959616,546972526,683346
    24.110607442,547411383,763432
    24.211971443,543632937,887433
    24.313081753,546042975,836143
    24.413878521,482589401,971645
    24.514982940,554232770,838820
    24.615832077,532282527,894953
    24.717049253,534380887,1116268
    24.818078882,467774075,2635546
    24.919213046,459650819,1492547
    25.021078429,429323460,2070093
    25.123550851,483372771,1421052
    25.223839143,339637656,1604630
    25.325315319,463174535,1337734
    25.425659746,476099767,1234158
    25.525929192,438154710,1524191
    25.627047278,391688278,1661061
    25.727826518,418160469,1991024
    25.828114678,401411901,1862668
    25.929519774,456546478,2443859
    26.029903221,364054065,3130449
    26.131413738,438634034,1308647
    26.231777259,468213304,1195647
    26.332085556,374369386,3142779
    26.433259592,450529600,1362424
    26.533999758,512649427,694325
    26.635437636,513939348,1461468
    26.735760262,509392567,1005725
    26.836053339,474168090,652625
    26.937765344,509980237,938208
    27.039169080,541521506,742616
    27.140548430,507290765,716032
    27.240871881,472583958,2142244
    27.341208950,524295998,1863094
    27.442571860,443285639,1408456
    27.543958080,462677755,1418862
    27.645449980,476034214,1321862
    27.745801610,442298549,1513437
    27.847301787,479287302,1295496
    27.947625843,478271878,1344585
    28.047897362,377145300,3411580
    28.149582286,442014551,2118311
    28.251065129,370444041,2308697
    28.352913761,382797977,2447942
    28.454093437,391882063,2896582
    28.571761498,374963761,3299674
    28.673298567,447374874,918748
    28.774097493,436427084,2587498
    28.875431541,430305980,1352871
    28.975727806,430253498,1485280
    29.076036402,403833447,1718411
    29.178979635,440251729,1881220
    29.279296578,347001044,2644846
    29.380864859,427243240,1122865
    29.482541369,525252646,412595
    29.584088330,466367728,1949485
    29.685579746,436306476,422204
    29.787064910,467487983,428513
    29.888079709,529476827,477158
    29.989753594,482551801,364526
    30.091239947,465377900,410739
    30.192767259,529828917,448549
    30.293067671,501275598,416690
    30.394654645,471616279,380470
    30.494940583,488878044,482397
    30.595971281,520847217,371061
    30.697407404,458719074,391213
    30.799326544,486273975,377166
    30.899635395,526973612,464100
    30.999956201,486752510,331114
    31.101049639,463136003,385881
    31.201912743,522059101,505463
    31.302221463,484298452,395422
    31.405419249,481191472,383421
    31.505722587,494242990,557329
    31.606018750,509288200,404928
    31.707517493,469741815,381028
    31.807839881,472684237,488129
    31.908144325,521765740,494072
    32.008992843,486608686,336251
    32.109313200,452351499,477822
    32.211868182,526882296,510412
    32.312167970,495825551,367481
    32.413812409,448473713,433014
